Abrupt,
Accro,
Accusateur,
Acerbe,
Agressif,
Aigri,
Amateur,
Amorphe,
Angoissé,
Anxieux,
Arbitraire,
Arriviste,
Arrogant,
Associable,
Asocial,
Assisté,
Autoritaire,
Avare,
Bagarreur,
Baratineur,
Bavard,
Blasé,
Blessant,
Borné,
Boudeur,
Brouillon,
Brute,
Bruyant,
Cachottier,
Calculateur,
Capricieux,
Caractériel,
Caricatural,
Carriériste,
Cassant,
Casse-cou,
Catastrophiste,
Caustique,
Censeur,
Coléreux,
Colérique,
Complexé,
Compliqué,
Confus,
Crédule,
Cruel,
Cynique,
Débordé,
Défaitiste,
Dépensier,
Désinvolte,
Désobéissant,
Désordonné,
Désorganisé,
Diabolique,
Distrait,
Docile,
Dominateur,
Dragueur,
Égocentrique,
Égoïste,
Emotif,
Enigmatique,
Entêté,
Envahissant,
Envieux,
Étourdi,
Excentrique,
Excessif,
Fainéant,
Familier,
Fantasque,
Fataliste,
Froid,
Grossier,
Hautain,
Hésitant,
Humiliant,
Hypocrite,
Imbu de lui-même,
Immature,
Impatient,
Imprudent,
Impulsif,
Inaccessible,
Inattentif,
Incompétent,
Inconstant,
Inculte,
Indécis,
Indiscret,
Indomptable,
Influençable,
Insatisfait,
Insignifiant,
Insouciant,
Instable,
Intéressé,
Intolérant,
Intransigeant,
Introverti,
Ironique,
Irréaliste,
Irrespectueux,
Irresponsable,
Jaloux,
Joueur,
Laxiste,
Lent,
Lunatique,
Macho,
Magnanime,
Mal à l’aise,
Mal élevé,
Maladroit,
Malhonnête,
Maniaque,
Maniéré,
Manipulateur,
Méchant,
Médiocre,
Médisant,
Méfiant,
Mégalomane,
Menteur,
Méprisant,
Mesquin,
Misogyne,
Moqueur,
Mou,
Muet,
Mystérieux,
Mythomane,
Naïf,
Narcissique,
Négatif,
Négligeant,
Nerveux,
Nonchalant,
Obstiné,
Obtus,
Odieux,
Opiniâtre,
Orgueilleux,
Paresseux,
Passif,
Pédant,
Persécuteur,
Pervers,
Pessimiste,
Peureux,
Plaintif,
Possessif,
Présomptueux,
Prétentieux,
Procrastinateur,
Profiteur,
Provocateur,
Puéril,
Raciste,
Radin,
Râleur,
Rancunier,
Rebelle,
Renfermé,
Réservé,
Résigné,
Rétrograde,
Revanchard,
Revêche,
Révolté,
Rigide,
Rigide,
Ringard,
Routinier,
Sans gêne,
Sarcastique,
Secret,
Sensible,
Solitaire,
Sombre,
Soupçonneux,
Sournois,
Stressé,
Strict,
Stupide,
Suffisant,
Superficiel,
Susceptible,
Tatillon,
Tempétueux,
Têtu,
Timide,
Triste,
Vaniteux,
Versatile,
Vulgaire